x_cm,y_cm
0.00,0.00
13.85,2.04
27.69,4.19
41.54,6.44
55.38,8.79
69.23,11.25
83.08,13.78
96.92,16.42
110.77,19.16
124.62,22.03
138.46,25.06
152.31,28.25
166.15,31.61
180.00,35.11
193.85,38.77
207.69,42.57
221.54,46.52
235.38,50.61
249.23,54.84
263.08,59.21
276.92,63.71
290.77,68.35
304.62,73.36
318.46,79.06
332.31,85.12
346.15,91.19
360.00,96.94
373.85,102.00
387.69,106.22
401.54,110.06
415.38,113.60
429.23,116.84
443.08,119.83
456.92,122.60
470.77,125.25
484.62,127.76
498.46,130.11
512.31,132.29
526.15,134.26
540.00,136.00
